stop_name;direction_id;ligne;stop_id;stop_id_gtfs;stop_name_gtfs;jaccard;distance
LA DEFENSEMETRORERTRAM;0;141;135;StopPoint:59:4024109;LA DEFENSEMETRORERTRAMWAY;0.022135538;26.21758136
BOIELDIEU;0;141;144;StopPoint:59:4024260;BOIELDIEU;0;43.65296177
MAIRIE DE PUTEAUX;0;141;151;StopPoint:59:4023966;MAIRIE DE PUTEAUX;0;27.20577216
GARE DE PUTEAUX;0;141;157;StopPoint:59:6309166;GARE DE PUTEAUX;0;32.64230035
PALISSY;0;141;164;StopPoint:59:6309111;PALISSY;0;6.489466312
LES BERGERES;0;141;100;StopPoint:59:4024119;LES BERGERES;0;18.87626771
FELIX FAURE;0;141;105;StopPoint:59:4024851;FELIX FAURE;0;9.557942216
LIBERTEPLAIDEURS;0;141;111;StopPoint:59:4023975;LIBERTE  PLAIDEURS;0.064585653;8.76204678
ROMAIN ROLLAND;0;141;118;StopPoint:59:4023976;ROMAIN ROLLAND;0;50.47159273
PLAIDEURSVAILLANT COUTURIER;0;141;125;StopPoint:59:4023978;PLAIDEURS  VAILLANTCOUTURIER;0.007714181;16.11179606
LES CHAILLIERS;0;141;133;StopPoint:59:4023980;LES CHAILLIERS;0;83.80798521
EUGENE SUE;0;141;137;StopPoint:59:4023211;EUGENE SUE;0;16.36277448
VOLTAIRE;0;141;143;StopPoint:59:4024576;VOLTAIRE;0;15.1187704
FABRE DEGLANTINE;0;141;150;StopPoint:59:4024578;FABRE DEGLANTINE;0;17.09488408
RUE DES FOLIES;0;141;156;StopPoint:59:4023987;RUE DES FOLIES;0;34.12460042
EDMOND ROSTAND;0;141;163;StopPoint:59:4023989;EDMOND ROSTAND;0;22.02883675
SAINT EXUPERY;0;141;99;StopPoint:59:4024138;SAINTEXUPERY;0.033908217;92.76816775
LA PAIX;0;141;104;StopPoint:59:4109846;LA PAIX;0;3.079942501
RACINE;0;141;110;StopPoint:59:4109848;RACINE;0;13.17827856
AVENUE DU MONT VALERIEN;0;141;117;StopPoint:59:4024144;AVENUE DU MONT VALERIEN;0;27.47488037
VICTORIEN SARDOU;0;141;124;StopPoint:59:4023999;VICTORIEN SARDOU;0;12.87865083
LES MAZURIERES;0;141;132;StopPoint:59:4024001;LES MAZURIERES;0;67.29974396
FOUILLEUSE;0;141;28;StopPoint:59:4024003;FOUILLEUSE;0;33.6499243
CARREY DE BELLEMARE;0;141;142;StopPoint:59:4024005;CARREY DE BELLEMARE;0;61.7180679
DUMOURIEZ;0;141;149;StopPoint:59:4024154;DUMOURIEZ;0;9.365523591
HENRI REGNAULT;0;141;155;StopPoint:59:4024009;HENRI REGNAULT;0;15.42746677
OTIS MYGATT;0;141;162;StopPoint:59:4024011;OTIS MYGATT;0;44.14154552
EUGENE SUE;0;141;252;StopPoint:59:4023211;EUGENE SUE;0;16.362774
